,symbol,name,engname,tradetype,lasttrade,prevclose,open,high,low,volume,amount,ticktime,buy,sell,pricechange,changepercent
662,00848,茂业国际,MAOYE INT'L,EQTY,0.164,0.164,0.000,0.000,0.000,0,0,2024-06-13 16:08:15,0.151,0.165,0.000,0.0000000
663,00851,盛源控股,SHENG YUAN HLDG,EQTY,0.201,0.201,0.000,0.000,0.000,0,0,2024-06-13 16:08:15,0.201,0.000,0.000,0.0000000
664,00852,海峡石油化工,STRONG PETRO,EQTY,0.290,0.285,0.000,0.000,0.000,0,0,2024-06-13 16:08:15,0.290,0.330,0.005,1.7543860
665,00853,微创医疗,MICROPORT,EQTY,6.360,5.840,5.880,6.420,5.880,14357061,89164583,2024-06-13 16:08:15,6.360,6.370,0.520,8.9041096
666,00854,威雅利,WILLAS-ARRAY,EQTY,3.090,3.090,0.000,0.000,0.000,0,0,2024-06-13 16:08:15,2.950,3.090,0.000,0.0000000
667,00855,中国水务,CHINA WATER,EQTY,6.220,6.010,5.960,6.270,5.960,5384000,33195480,2024-06-13 16:08:15,6.210,6.220,0.210,3.4941764
668,00856,伟仕佳杰,VSTECS,EQTY,4.440,4.500,4.500,4.540,4.390,1678000,7488860,2024-06-13 16:08:15,4.390,4.450,-0.060,-1.3333333
669,00857,中国石油股份,PETROCHINA,EQTY,7.690,7.670,7.710,7.780,7.630,59462813,457489269,2024-06-13 16:08:15,7.680,7.690,0.020,0.2607562
670,00858,精优药业,EXTRAWELL PHAR,EQTY,0.036,0.036,0.041,0.041,0.035,390000,14100,2024-06-13 16:08:15,0.036,0.040,0.000,0.0000000
671,00859,中昌国际控股,ZHONGCHANG INTL,EQTY,0.122,0.122,0.000,0.000,0.000,0,0,2024-06-13 16:08:15,0.103,0.148,0.000,0.0000000
672,00860,APOLLO出行,APOLLO FMG,EQTY,0.660,0.660,0.660,0.680,0.630,193800,127888,2024-06-13 16:08:15,0.640,0.660,0.000,0.0000000
673,00861,神州控股,DC HOLDINGS,EQTY,3.440,3.410,3.410,3.460,3.400,6510100,22348768,2024-06-13 16:08:15,3.440,3.450,0.030,0.8797654
674,00862,远见控股,VISION VALUES,EQTY,0.033,0.028,0.029,0.035,0.029,345000,11470,2024-06-13 16:08:15,0.030,0.033,0.005,17.8571429
