序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
5140,600350,山东高速,8.8,-1.01,-0.09,102401.0,90204146.0,1.69,8.92,8.77,8.89,8.89,0.48,0.21,13.08,1.5,42698313020.0,42698313020.0,0.0,0.11,0.57,34.97
5141,301187,欧圣电气,26.4,-1.01,-0.27,27141.0,71619718.28,4.57,27.18,25.96,26.68,26.67,0.58,5.67,24.82,3.67,4820842250.0,1263879461.0,0.04,-0.08,43.4,42.09
5142,688108,赛诺医疗,10.72,-1.02,-0.11,106560.0,113870165.0,3.88,10.93,10.51,10.89,10.83,0.92,2.58,289.24,5.09,4432248320.0,4432248320.0,0.09,0.19,39.4,-14.58
5143,600908,无锡银行,5.84,-1.02,-0.06,202187.0,118447089.0,1.36,5.91,5.83,5.88,5.9,0.85,1.01,4.81,0.62,12816941099.0,11675985964.0,-0.34,-0.34,13.62,20.41
5144,600577,精达股份,5.84,-1.02,-0.06,1061008.0,621396912.0,3.05,5.97,5.79,5.84,5.9,0.54,5.03,21.31,2.34,12314683456.0,12314683456.0,0.34,0.34,56.15,47.1
5145,600299,安迪苏,11.64,-1.02,-0.12,72154.0,83858186.0,1.96,11.75,11.52,11.75,11.76,0.75,0.27,25.69,2.06,31217330818.0,31217330818.0,-0.09,-0.17,9.19,46.6
5146,601288,农业银行,4.82,-1.03,-0.05,3824151.0,1846864873.0,1.64,4.88,4.8,4.87,4.87,0.73,0.12,6.21,0.68,1686918223268.0,1538757095945.0,-0.21,-0.21,1.05,41.35
5147,300916,朗特智能,26.93,-1.03,-0.28,74930.0,197915714.81,9.78,27.6,24.94,26.68,27.21,1.88,8.11,28.06,3.03,3895263109.0,2486659405.0,0.07,0.19,13.01,11.56
5148,301606,绿联科技,34.57,-1.03,-0.36,39875.0,138390549.1,3.46,35.33,34.12,35.0,34.93,0.73,12.78,34.66,5.47,14343431993.0,1078870482.0,0.09,-0.09,65.33,65.33
5149,601991,大唐发电,2.88,-1.03,-0.03,969401.0,279653647.0,1.72,2.91,2.86,2.9,2.91,0.8,0.78,8.57,1.79,53299326252.0,35700736625.0,-0.35,-0.35,-3.36,19.5
5150,600803,新奥股份,19.18,-1.03,-0.2,75196.0,144318372.0,2.12,19.44,19.03,19.4,19.38,0.81,0.26,12.76,2.62,59402140302.0,54468631510.0,0.05,0.05,0.84,20.55
5151,601028,玉龙股份,13.37,-1.04,-0.14,254677.0,340886512.0,1.92,13.56,13.3,13.4,13.51,0.52,3.25,21.96,3.07,10469054411.0,10469054411.0,-0.15,-0.07,-8.86,25.42
5152,688685,迈信林,37.09,-1.04,-0.39,44218.0,164392457.0,5.5,38.64,36.58,38.5,37.48,1.11,3.04,93.72,7.55,5393875079.0,5393875079.0,-0.11,0.19,65.95,62.68
5153,603893,瑞芯微,89.09,-1.04,-0.94,104181.0,929722063.0,3.31,90.88,87.9,90.42,90.03,0.59,2.49,79.47,11.05,37266418272.0,37247932097.0,-0.02,-0.02,39.05,40.97
5154,300008,天海防务,5.68,-1.05,-0.06,2618482.0,1492347915.61,2.96,5.79,5.62,5.7,5.74,0.85,15.9,96.04,4.85,9815205475.0,9355698803.0,0.18,0.35,56.47,42.71
5155,601000,唐山港,4.72,-1.05,-0.05,298546.0,141223761.0,1.26,4.77,4.71,4.76,4.77,0.57,0.5,12.67,1.4,27970383058.0,27970383058.0,-0.21,0.0,-6.53,43.03
5156,836504,博迅生物,17.89,-1.05,-0.19,45650.0,86293773.67,18.03,20.57,17.31,17.77,18.08,1.51,36.43,99.75,4.12,775229159.0,224165332.0,-0.33,-0.11,57.9,-3.77
5157,000752,ST西发,6.57,-1.05,-0.07,64812.0,42274849.92,2.41,6.61,6.45,6.46,6.64,1.39,2.46,54.17,12.78,1732893286.0,1732893286.0,0.0,0.15,-7.46,-6.94
5158,873169,七丰精工,16.88,-1.06,-0.18,212298.0,388312690.34,36.34,22.0,15.8,20.0,17.06,1.85,42.05,137.92,4.48,1379862183.0,852173971.0,-0.12,3.62,155.76,74.2
