序号,日期,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,是否新高,量比,涨停统计,入选理由,所属行业
72,20240528,300327,中颖电子,1.239846110343933,23.68,28.07,521658032,8033583287.68,8099231754.24,6.443883419036865,0.0,1,2.3747754096984863,0/0,1,半导体
73,20240528,000400,许继电气,1.230053186416626,30.45,33.09,400110192,30703406696.55,31028833550.399998,1.3101469278335571,0.09861932694911957,1,1.770189881324768,0/0,1,电网设备
74,20240528,601018,宁波港,1.1080331802368164,3.65,3.97,63558555,57697073400.5,71008517952.0,0.11046530306339264,0.0,1,2.020899772644043,0/0,1,航运港口
75,20240528,301127,天源环保,1.0416667461395264,10.67,12.67,21116736,2637664823.42,4483879366.56,0.804969310760498,0.0,1,0.7364150881767273,0/0,1,环保行业
76,20240528,688090,瑞松科技,1.0101009607315063,28.0,33.26,97793341,1873609024.0,1886096464.0,5.140364646911621,-0.035701535642147064,1,3.9334545135498047,0/0,1,专用设备
77,20240528,601126,四方股份,0.787844717502594,17.91,19.55,309601536,14563910520.0,14905167660.0,2.1364197731018066,0.3361344635486603,1,2.476409673690796,0/0,1,电网设备
78,20240528,600522,中天科技,0.7822685837745667,15.46,16.87,893624976,52764201619.920006,52764201558.08,1.674404501914978,0.0,1,2.404339075088501,0/0,1,通信设备
79,20240528,600875,东方电气,0.7547169923782349,18.69,20.41,451006448,37815552862.71,58266064832.64001,1.190062165260315,0.0,1,2.510761022567749,0/0,1,电源设备
80,20240528,002182,宝武镁业,0.6119326949119568,19.73,21.57,332830800,10993490614.78,13977176793.12,3.048550605773926,-0.20232675969600677,1,3.248795747756958,2/1,1,有色金属
81,20240528,601222,林洋能源,0.435413658618927,6.92,7.58,128265743,14256370559.52,14256370531.84,0.8954015374183655,-0.14430014789104462,1,2.3465607166290283,0/0,1,仪器仪表
82,20240528,002026,山东威达,0.33003300428390503,9.12,10.0,42190355,3903469239.3599997,4063417605.12,1.0748764276504517,0.10976948589086533,1,2.015174150466919,0/0,1,通用设备
83,20240528,600000,浦发银行,0.23419202864170074,8.56,9.39,187787512,251254637037.44,251254636421.12003,0.07458873093128204,-0.11668611317873001,1,0.9148755073547363,0/0,1,银行
84,20240528,600018,上港集团,0.17331022024154663,5.78,6.35,58892713,133943839477.0,134582356019.20001,0.04405688866972923,-0.1727115660905838,1,1.0892921686172485,0/0,1,航运港口
85,20240528,605016,百龙创园,0.0651041716337204,30.74,33.79,19795718,7639750720.0,7639750720.0,0.2595570683479309,0.0651041716337204,1,1.585608959197998,0/0,1,食品饮料
86,20240528,000682,东方电子,0.0,12.21,13.43,358574896,16368660761.970001,16370276767.68,2.1948204040527344,0.32867708802223206,1,2.240201473236084,0/0,1,电网设备
87,20240528,000819,岳阳兴长,0.0,17.8,19.58,82303422,5324874539.0,6580615571.2,1.531945824623108,-0.056148234754800797,1,1.320725917816162,0/0,1,石油行业
88,20240528,600023,浙能电力,0.0,6.9,7.59,327083568,92520255968.1,92520255436.8,0.35320883989334106,0.0,1,1.3590350151062012,0/0,1,电力行业
89,20240528,600310,广西能源,0.0,4.16,4.58,647893168,6097356603.52,6097356595.2,10.468317985534668,0.0,1,7.812687873840332,3/2,3,电力行业
90,20240528,601009,南京银行,0.0,10.33,11.36,151608342,95166424069.81,106850772385.28,0.15861542522907257,-0.19323670864105225,1,1.424860954284668,0/0,1,银行
91,20240528,836239,长虹能源,-0.05411255359649658,18.47,24.02,19967550,918228366.4799999,2402078965.41,2.1545891761779785,1.0393872261047363,1,1.4150311946868896,0/0,1,电池
92,20240528,601166,兴业银行,-0.274273157119751,18.18,20.05,513814128,377676737530.92,377676739676.16,0.13540968298912048,-0.10989011824131012,1,1.0071660280227661,0/0,1,银行
93,20240528,301109,军信股份,-0.2929115295410156,17.02,20.48,17262387,1679037143.62,6978370200.0,1.0258402824401855,0.0,1,1.1958459615707397,0/0,1,环保行业
94,20240528,601311,骆驼股份,-0.3448275923728943,8.67,9.57,65165884,10171176843.06,10171176791.039999,0.6390841007232666,0.0,1,2.074446678161621,0/0,1,电池
95,20240528,601328,交通银行,-0.422535240650177,7.07,7.81,336047744,277503608586.05,525037491937.28,0.12059114128351212,-0.28208744525909424,1,1.4134024381637573,0/0,1,银行
96,20240528,002353,杰瑞股份,-0.46592894196510315,34.18,37.77,116052218,23701620775.7,34995392611.2,0.49058645963668823,0.058548007160425186,1,0.780587375164032,0/0,1,专用设备
97,20240528,688100,威胜信息,-0.4908292591571808,38.52,46.45,51360638,19260000000.0,19260000000.0,0.2675173878669739,-0.20725388824939728,1,1.2357617616653442,0/0,1,通信设备
98,20240528,300001,特锐德,-0.5006827116012573,21.86,26.36,327118928,22470906555.2,23081923984.32,1.4548238515853882,0.0,1,1.9876805543899536,0/0,1,电网设备
99,20240528,600015,华夏银行,-0.5689900517463684,6.99,7.73,104240312,107556695641.17,111245349404.16,0.0966448038816452,-0.1428571343421936,1,1.0981301069259644,0/0,1,银行
100,20240528,601658,邮储银行,-0.5825242400169373,5.12,5.67,268348150,343666663424.0,507704707645.44,0.07787550240755081,0.0,1,1.0993554592132568,0/0,1,银行
101,20240528,601229,上海银行,-0.6234413981437683,7.97,8.82,235512857,110365534771.31,113227168698.87999,0.21328330039978027,0.0,1,1.30621337890625,0/0,1,银行
102,20240528,600663,陆家嘴,-0.6776379346847534,10.26,11.36,81461473,30097314374.399998,49380678051.84,0.2677158713340759,-0.19455252587795258,1,2.06943941116333,0/0,1,房地产开
103,20240528,600714,金瑞矿业,-0.780379056930542,8.9,9.87,133540381,2564768829.7000003,2564768820.8,5.194402694702148,0.0,0,1.467880129814148,8/4,2,化学原料
104,20240528,300998,宁波方正,-0.8873457312583923,25.69,31.1,50523290,1689575758.22,3523877518.7000003,2.9616055488586426,0.0,1,1.3602367639541626,0/0,1,汽车零部
105,20240528,300214,日科化学,-0.9493670463562012,6.26,7.58,184945098,2526309613.36,2917426726.08,7.306234359741211,0.0,1,6.321911334991455,0/0,1,塑料制品
106,20240528,601825,沪农商行,-1.097561001777649,8.11,9.02,91958822,37482501538.95,78216444213.76,0.24494978785514832,-0.2460024505853653,1,0.9989109635353088,0/0,1,银行
107,20240528,603323,苏农银行,-1.4842300415039062,5.31,5.93,74163981,8197208986.86,9574319286.72,0.8993473649024963,-0.3752345144748688,1,1.0319517850875854,0/0,1,银行
108,20240528,601187,厦门银行,-1.492537260055542,5.94,6.63,57256900,7617922313.76,15676419654.720001,0.7472406029701233,-0.16806723177433014,1,1.1138213872909546,0/0,1,银行
109,20240528,688456,有研粉材,-1.9857028722763062,37.02,45.32,66609166,3837493200.0000005,3837493200.0000005,1.7074368000030518,0.027019726112484932,1,1.4502332210540771,0/0,1,有色金属
110,20240528,603836,海程邦达,-2.15982723236084,13.59,15.28,130259323,2789146870.83,2789146870.83,4.531531810760498,-0.07352941483259201,1,6.666652202606201,2/1,1,物流行业
111,20240528,002897,意华股份,-2.3905224800109863,46.14,52.0,635637936,7531683063.18,8953452973.44,8.40024185180664,-0.12987013161182404,0,1.8008170127868652,4/2,2,通信设备
112,20240528,300218,安利股份,-2.4375741481781006,16.41,20.18,32864542,3549095625.54,3560756670.0,0.9188178181648254,0.0,1,1.5609179735183716,0/0,1,塑料制品
113,20240528,000702,正虹科技,-2.7142856121063232,6.81,7.7,480435584,1815781462.56,2360515868.64,26.862565994262695,0.14705882966518402,0,2.3001627922058105,11/6,2,农牧饲渔
114,20240528,002016,世荣兆业,-3.753753662109375,6.41,7.33,82991912,5186303001.12,5186303001.12,1.547131896018982,-0.31104201078414917,1,3.699802875518799,2/1,1,房地产开
115,20240528,301323,新莱福,-3.8691248893737793,37.02,46.21,118517158,914157997.5000001,3884245387.8,12.544646263122559,0.0,1,1.7392147779464722,0/0,1,塑料制品
116,20240528,002886,沃特股份,-4.220183372497559,15.66,17.99,274200144,3263476098.2400002,4121767827.9,8.363677024841309,-0.19120459258556366,0,2.051551580429077,4/2,2,塑料制品
